DEBUG 2019-05-28 10:18:23,169 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Users.Dto.UserDto
DEBUG 2019-05-28 10:18:23,170 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-05-28 10:18:23,170 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-05-28 10:18:23,171 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.CreateRoleDto
DEBUG 2019-05-28 10:18:23,172 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.PermissionDto
DEBUG 2019-05-28 10:18:23,172 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.RoleDto
DEBUG 2019-05-28 10:18:23,174 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-05-28 10:18:23,174 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.MultiTenancy.Dto.TenantDto
DEBUG 2019-05-28 10:18:23,174 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.DIME2Barcode.TaskAssignment.ICMODispBill.Dtos.DispBillCreateInput
DEBUG 2019-05-28 10:18:23,174 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.DIME2Barcode.TaskAssignment.TaskScheduling.Dtos.TaskSchedulingDto
INFO  2019-05-28 10:18:28,947 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2019-05-28 10:18:28,947 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:21021/  0
INFO  2019-05-28 10:18:29,031 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 89.3804ms 200 
INFO  2019-05-28 10:18:35,996 [5    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action JIT.InfomationSystem.Web.Host.Controllers.HomeController.Index (JIT.InfomationSystem.Web.Host)
INFO  2019-05-28 10:18:37,738 [5    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method JIT.InfomationSystem.Web.Host.Controllers.HomeController.Index (JIT.InfomationSystem.Web.Host) - Validation state: Valid
